Order_ID,Order_Date,Product,Category,Region,Customer_Segment,Sales,Cost,Discount,Profit,Quantity,Profit_Margin,Revenue_per_Item,Month,Year
73871,2025-06-16,Monitor,Furniture,North,Consumer,1733.29,783.2,0.4,256.77,1,14.814024196758766,1733.29,6,2025
72211,2025-11-02,Chair,Office Supplies,West,Home Office,736.25,477.0,0.3,38.38,3,5.212903225806452,245.41666666666666,11,2025
64242,2025-09-15,Printer,Furniture,North,Home Office,504.28,268.45,0.3,84.55,5,16.766478940271277,100.856,9,2025
29379,2025-09-30,Chair,Furniture,East,Consumer,695.86,468.25,0.0,227.61,3,32.709165636766016,231.95333333333335,9,2025
71728,2025-07-25,Chair,Furniture,North,Home Office,1756.68,1576.72,0.3,-347.04,6,-19.755447776487465,292.78000000000003,7,2025
72720,2025-01-01,Mouse,Office Supplies,South,Home Office,930.91,772.62,0.3,-120.98,7,-12.995885746205326,132.98714285714286,1,2025
90671,2024-11-21,Laptop,Furniture,East,Corporate,969.04,610.64,0.2,164.59,1,16.984850986543385,969.04,11,2024
82427,2024-12-24,Router,Technology,West,Corporate,650.98,558.63,0.4,-168.04,5,-25.81338904421027,130.196,12,2024
44063,2024-07-13,Tablet,Furniture,North,Corporate,471.8,319.01,0.0,152.79,4,32.38448495125053,117.95,7,2024
38141,2025-04-30,Keyboard,Office Supplies,North,Home Office,1529.87,648.45,0.3,422.46,2,27.61411100289567,764.935,4,2025
56393,2025-07-06,Desk,Furniture,East,Corporate,1710.3,1085.94,0.4,-59.76,6,-3.4941238379231714,285.05,7,2025
72777,2024-10-16,Router,Furniture,North,Consumer,1679.46,1158.36,0.1,353.15,5,21.027592202255484,335.892,10,2024
58770,2025-11-09,Keyboard,Office Supplies,East,Consumer,292.47,162.4,0.1,100.82,6,34.471911649058015,48.745000000000005,11,2025
34916,2024-07-26,Phone,Furniture,East,Home Office,1471.8,923.21,0.3,107.05,10,7.273406712868597,147.18,7,2024
85236,2024-05-28,Laptop,Technology,North,Consumer,274.85,119.58,0.4,45.33,9,16.492632344915407,30.53888888888889,5,2024
20250,2024-09-01,Keyboard,Furniture,North,Consumer,610.3,392.95,0.0,217.35,3,35.6136326396854,203.4333333333333,9,2024
28806,2025-04-09,Laptop,Office Supplies,East,Corporate,1873.2,784.2,0.1,901.68,9,48.13581037796284,208.13333333333333,4,2025
80520,2025-11-27,Phone,Technology,North,Corporate,310.19,234.27,0.1,44.9,9,14.47499919404236,34.465555555555554,11,2025
