Order_ID,Order_Date,Product,Category,Region,Customer_Segment,Sales,Cost,Discount,Profit,Quantity
73871,2025-06-16,Monitor,Furniture,North,Consumer,1733.29,783.2,0.4,256.77,1
72211,2025-11-02,Chair,Office Supplies,West,Home Office,736.25,477.0,0.3,38.38,3
64242,2025-09-15,Printer,Furniture,North,Home Office,504.28,268.45,0.3,84.55,5
29379,2025-09-30,Chair,Furniture,East,Consumer,695.86,468.25,0.0,227.61,3
71728,2025-07-25,Chair,Furniture,North,Home Office,1756.68,1576.72,0.3,-347.04,6
72720,2025-01-01,Mouse,Office Supplies,South,Home Office,930.91,772.62,0.3,-120.98,7
90671,2024-11-21,Laptop,Furniture,East,Corporate,969.04,610.64,0.2,164.59,1
82427,2024-12-24,Router,Technology,West,Corporate,650.98,558.63,0.4,-168.04,5
44063,2024-07-13,Tablet,Furniture,North,Corporate,471.8,319.01,0.0,152.79,4
38141,2025-04-30,Keyboard,Office Supplies,North,Home Office,1529.87,648.45,0.3,422.46,2
56393,2025-07-06,Desk,Furniture,East,Corporate,1710.3,1085.94,0.4,-59.76,6
72777,2024-10-16,Router,Furniture,North,Consumer,1679.46,1158.36,0.1,353.15,5
58770,2025-11-09,Keyboard,Office Supplies,East,Consumer,292.47,162.4,0.1,100.82,6
34916,2024-07-26,Phone,Furniture,East,Home Office,1471.8,923.21,0.3,107.05,10
85236,2024-05-28,Laptop,Technology,North,Consumer,274.85,119.58,0.4,45.33,9
20250,2024-09-01,Keyboard,Furniture,North,Consumer,610.3,392.95,0.0,217.35,3
28806,2025-04-09,Laptop,Office Supplies,East,Corporate,1873.2,784.2,0.1,901.68,9
80520,2025-11-27,Phone,Technology,North,Corporate,310.19,234.27,0.1,44.9,9
31145,2025-04-30,Monitor,Office Supplies,South,Corporate,1117.62,901.28,0.2,-7.18,3
38710,2025-10-17,Chair,Furniture,West,Home Office,561.92,390.16,0.3,3.18,2
14485,2025-06-23,Monitor,Office Supplies,West,Consumer,1511.19,770.08,0.1,589.99,3
38117,2026-03-08,Tablet,Office Supplies,North,Home Office,168.2,105.06,0.3,12.68,9
68985,2025-10-25,Keyboard,Office Supplies,East,Home Office,1931.54,1236.93,0.3,115.15,10
97778,2024-05-27,Laptop,Technology,West,Home Office,1679.04,1277.27,0.2,65.96,4
56603,2024-09-19,Tablet,Furniture,East,Consumer,1563.68,1336.9,0.2,-85.96,2
99675,2024-09-22,Chair,Technology,South,Corporate,642.97,518.44,0.2,-4.06,5
70307,2024-09-07,Printer,Office Supplies,West,Corporate,1657.19,1227.82,0.2,97.93,3
35161,2025-03-15,Mouse,Furniture,East,Consumer,1313.68,1124.01,0.0,189.67,7
95618,2024-04-08,Monitor,Technology,West,Home Office,712.32,466.31,0.3,32.31,3
38172,2024-11-17,Monitor,Furniture,North,Corporate,1356.23,994.38,0.0,361.85,1
20220,2025-11-07,Phone,Office Supplies,East,Corporate,779.96,537.27,0.2,86.7,1
59193,2025-04-06,Monitor,Office Supplies,East,Consumer,1384.57,1094.2,0.4,-263.46,9
33305,2024-10-13,Chair,Office Supplies,West,Consumer,489.76,236.95,0.1,203.83,3
44445,2025-10-14,Tablet,Furniture,East,Corporate,465.89,212.37,0.2,160.34,8
50190,2025-07-02,Chair,Office Supplies,West,Consumer,1731.22,1227.43,0.4,-188.7,3
35873,2025-10-03,Phone,,West,Corporate,1147.75,1027.62,0.0,120.13,8
31892,2025-05-27,Desk,Furniture,East,Home Office,872.53,465.73,0.0,406.8,9
85010,2026-01-25,Laptop,Furniture,West,Consumer,696.54,533.99,0.0,162.55,3
